,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor,predicted_class,true_class,errors
4360,1,0,1,0,1,0,0,0,0,0,1,0,0,0
5526,0,1,1,0,1,0,0,0,0,1,0,1,1,0
4514,5,1,0,0,1,0,0,0,0,0,1,1,1,0
1295,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,2,1,0,0,1,0,0,0,0,0,1,0,0,0
1115,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5975,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4824,4,1,0,1,1,0,0,0,0,0,0,1,1,0
2776,2,0,0,0,0,0,0,0,0,0,1,0,0,0
514,6,1,0,0,0,0,0,0,0,0,0,1,1,0
5432,4,1,0,1,0,0,0,0,0,0,1,1,1,0
2135,2,0,1,0,1,0,0,0,0,0,0,0,1,1
1973,2,0,0,0,0,0,0,0,0,1,0,0,0,0
3893,2,1,0,1,1,0,0,0,0,0,0,1,1,0
1287,0,0,0,1,1,0,0,0,0,1,0,0,1,1
5578,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,0,1,0,0,0,0,1,0,0,0,1,0,1,1
285,1,0,1,0,0,0,1,0,0,0,1,0,0,0
4561,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3738,2,1,0,0,0,0,0,0,0,0,1,0,1,1
1264,8,1,0,0,1,0,0,0,0,0,1,1,1,0
1577,0,0,1,0,0,0,0,0,0,0,1,0,0,0
633,1,1,0,0,1,0,0,0,0,1,1,0,0,0
510,11,1,0,1,1,0,0,0,0,0,0,1,1,0
3925,6,0,0,0,1,0,0,0,0,1,0,1,0,1
183,0,0,1,0,0,0,0,0,0,1,1,0,1,1
993,0,0,0,1,1,0,0,0,0,1,1,0,0,0
3143,0,1,0,0,0,0,0,0,0,0,1,1,1,0
1524,1,0,0,0,0,0,1,0,0,0,1,0,0,0
5708,2,1,0,0,0,0,1,0,0,0,1,1,1,0
1321,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1215,2,0,0,0,1,0,0,0,0,1,1,0,0,0
2345,0,1,0,0,1,0,0,0,0,1,1,0,1,1
4612,2,1,0,0,1,0,0,0,0,0,0,1,1,0
5254,4,1,0,1,0,0,0,0,0,0,0,1,0,1
3763,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2092,15,1,0,0,1,0,0,0,0,0,0,1,0,1
3994,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4255,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1616,9,1,0,0,1,0,0,0,0,0,0,1,1,0
3797,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1553,3,0,0,0,0,0,0,0,0,0,1,0,0,0
5615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4304,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1512,2,0,0,0,1,0,0,0,0,0,0,0,0,0
5091,1,1,0,0,1,0,0,0,0,0,0,0,0,0
772,3,0,0,0,0,0,0,0,0,1,1,0,0,0
1339,0,1,0,1,0,0,1,0,0,0,0,0,1,1
3230,1,0,0,0,1,0,0,0,0,1,1,0,0,0
4012,1,1,0,0,1,0,0,0,0,1,0,0,0,0
2038,4,1,0,0,1,0,0,0,0,0,0,1,1,0
4665,12,1,0,1,1,0,0,0,0,0,0,1,1,0
5891,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3448,5,0,0,0,0,0,0,0,0,0,1,1,1,0
528,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5291,0,0,1,0,1,0,0,0,0,0,0,0,1,1
2126,7,1,0,0,1,0,0,0,0,0,0,1,0,1
701,1,0,0,1,1,0,0,0,0,1,0,1,0,1
4834,2,0,0,0,0,0,0,0,0,0,1,0,0,0
5442,1,0,0,0,0,0,0,0,0,0,1,0,0,0
386,5,0,1,0,1,0,0,0,0,0,0,0,1,1
4218,1,1,0,1,1,0,0,0,0,0,0,1,1,0
12,7,0,0,0,1,0,0,0,0,0,0,0,1,1
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,5,0,1,0,1,0,0,0,0,0,0,0,1,1
3166,4,0,1,0,0,0,0,0,0,1,0,0,0,0
4896,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3378,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4876,2,0,0,0,1,0,0,0,0,0,0,0,0,0
642,1,0,0,1,0,0,0,0,1,0,0,0,1,1
3780,5,1,0,1,1,0,0,0,0,0,0,1,1,0
168,2,0,0,0,0,0,0,0,1,0,1,0,1,1
1844,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1526,12,1,0,0,0,0,1,0,0,0,0,1,0,1
4105,3,1,0,1,1,0,0,0,0,0,0,1,0,1
4768,4,1,0,0,1,0,0,0,0,1,0,1,0,1
1688,0,0,1,0,0,0,0,0,0,0,1,0,1,1
4550,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4840,1,1,0,0,1,0,0,0,0,0,0,0,1,1
2988,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4744,12,1,0,0,0,0,0,0,0,1,0,1,1,0
5402,7,1,0,1,1,0,0,0,0,1,0,1,0,1
4488,10,1,0,0,0,0,0,0,0,0,0,1,1,0
1474,4,0,1,0,0,0,0,0,0,0,0,0,0,0
4878,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2114,1,0,0,0,0,0,0,0,0,0,1,0,1,1
3918,2,0,0,0,1,0,0,0,0,0,0,0,1,1
1884,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1257,5,1,0,0,0,0,0,0,0,1,0,1,0,1
3689,1,1,0,0,1,0,0,0,0,1,0,0,1,1
4273,26,1,1,0,0,0,0,0,0,0,0,1,1,0
1131,0,1,0,1,1,0,0,0,0,0,0,1,1,0
4173,5,1,0,0,1,0,0,0,0,0,0,1,0,1
566,4,1,0,0,0,0,0,0,1,0,1,1,1,0
4093,3,0,1,0,0,0,0,0,0,0,0,0,1,1
963,0,1,0,1,1,0,0,0,0,1,0,0,0,0
5515,0,0,0,0,0,0,1,0,0,0,1,0,1,1
4752,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3865,0,1,0,0,0,0,1,0,0,0,0,0,1,1
3464,1,1,0,0,1,0,0,0,0,0,1,0,0,0
3556,0,0,0,0,0,0,1,0,0,1,0,0,1,1
3635,0,0,0,0,0,1,0,0,0,0,0,0,0,0
660,4,0,0,0,1,0,0,0,0,0,0,0,0,0
2055,1,1,1,0,1,0,0,0,0,0,0,1,0,1
729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,3,0,1,0,1,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3325,4,0,0,0,1,0,0,0,0,0,1,1,1,0
3514,0,0,0,0,0,0,0,0,0,1,0,1,1,0
5022,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5471,0,1,0,1,0,0,1,0,0,0,1,0,0,0
2767,10,1,0,0,1,0,0,0,0,0,0,1,1,0
2310,0,1,0,1,1,0,0,0,0,1,1,0,1,1
5798,3,1,0,0,0,0,1,0,0,0,0,1,1,0
3581,5,0,0,0,0,0,0,0,0,0,0,0,0,0
375,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5923,5,0,0,0,1,0,0,0,0,0,1,0,0,0
4790,4,1,0,0,1,0,0,0,0,0,1,1,0,1
431,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5998,2,1,1,0,1,0,0,0,0,0,1,0,0,0
2195,0,0,0,1,1,0,0,0,0,0,0,0,1,1
2094,1,0,1,0,1,0,0,0,0,0,1,0,0,0
5514,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1288,7,1,0,0,1,0,0,0,0,0,1,1,1,0
1764,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1627,0,1,0,1,1,0,0,0,0,0,0,1,0,1
739,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2163,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3245,6,0,1,0,0,0,0,0,0,0,0,0,1,1
1395,7,1,0,0,1,0,0,0,0,1,0,1,1,0
5650,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5974,0,0,1,0,1,0,0,0,0,0,1,0,0,0
4158,0,1,1,0,0,0,0,0,0,1,0,1,0,1
3970,3,1,0,1,1,0,0,0,0,0,0,1,1,0
1413,6,1,0,0,1,0,0,0,0,0,1,1,0,1
70,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2314,5,0,0,0,1,0,0,0,0,0,0,0,1,1
97,3,0,0,0,1,0,0,0,0,0,0,1,0,1
78,7,1,0,0,0,0,0,0,0,0,0,1,1,0
1704,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1710,5,0,1,0,1,0,0,0,0,0,0,0,0,0
4238,2,1,0,1,0,0,0,0,0,0,1,1,0,1
2685,13,1,1,0,1,0,0,0,0,0,0,1,1,0
2226,4,1,0,0,1,0,0,0,0,0,1,1,1,0
3489,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5208,0,0,0,0,1,0,0,0,0,1,1,0,0,0
961,6,1,1,0,0,0,0,0,0,1,1,1,0,1
4844,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3875,1,1,0,1,1,0,0,0,0,0,0,1,0,1
1252,0,1,0,1,0,0,0,0,0,1,0,0,1,1
4657,8,1,0,0,1,0,0,0,0,0,1,1,0,1
4628,0,0,1,0,0,0,0,0,0,0,1,0,0,0
265,0,1,0,1,1,0,0,0,0,0,0,1,1,0
3508,16,1,0,0,0,0,1,0,0,0,0,1,1,0
5644,1,0,0,0,0,0,1,0,0,1,1,0,0,0
3473,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2728,9,1,0,1,1,0,0,0,0,0,1,1,1,0
5826,2,0,1,0,0,0,0,0,0,0,1,0,0,0
549,2,0,0,0,0,0,0,0,0,0,0,0,1,1
1864,37,1,0,0,1,0,0,0,0,0,1,1,1,0
1340,1,0,1,0,0,0,0,0,0,1,1,0,0,0
3936,7,0,0,0,1,0,0,0,0,0,0,0,0,0
1831,0,0,0,0,1,0,0,0,0,0,0,0,0,0
347,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3405,4,0,0,0,1,0,0,0,0,0,0,0,0,0
1059,4,1,0,0,1,0,0,0,0,0,0,1,1,0
4483,21,1,1,0,0,0,0,0,0,0,0,1,1,0
4371,12,1,0,0,1,0,0,0,0,0,0,1,0,1
3919,0,1,0,1,1,0,0,0,0,1,1,0,1,1
3202,1,0,1,0,0,0,0,0,0,1,1,0,1,1
5930,11,0,0,0,0,0,0,0,0,0,0,1,0,1
4009,3,1,1,0,1,0,0,0,0,0,0,0,1,1
1838,3,0,0,0,1,0,0,0,0,0,0,1,1,0
5436,0,1,0,1,1,0,0,0,0,0,1,0,1,1
5012,7,0,0,0,1,0,0,0,0,1,0,1,1,0
790,10,1,0,0,1,0,0,0,0,0,1,1,1,0
5328,0,1,0,0,0,0,0,0,0,0,0,1,0,1
3051,0,0,1,0,1,0,0,0,0,0,1,0,0,0
3801,2,1,0,1,0,0,1,0,0,0,0,1,0,1
851,1,0,1,0,0,0,1,0,0,0,1,0,0,0
6031,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1077,4,0,1,0,0,0,0,0,0,0,0,0,0,0
3001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2646,3,0,1,0,1,0,0,0,0,0,0,0,0,0
4836,3,1,0,0,1,0,0,0,0,0,0,1,0,1
3008,3,0,0,0,0,0,0,0,0,1,0,1,0,1
306,1,0,0,1,1,0,0,0,0,0,0,1,0,1
3418,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3241,1,0,0,0,0,0,0,0,0,0,1,0,1,1
937,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3023,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3080,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2371,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3250,10,1,0,0,1,0,0,0,0,0,1,1,1,0
6003,14,1,0,0,1,0,0,0,0,0,0,1,1,0
3402,1,0,0,0,1,0,0,0,0,0,1,0,1,1
588,2,0,0,0,1,0,0,0,0,0,1,0,0,0
2615,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1407,19,0,1,0,1,0,0,0,0,0,0,1,0,1
4926,8,0,0,0,1,0,0,0,0,0,1,1,1,0
279,0,1,0,1,1,0,0,0,0,1,0,0,1,1
2792,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5047,9,1,0,0,0,0,0,0,0,0,0,1,1,0
1156,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1442,23,0,1,0,0,0,0,0,1,0,0,1,1,0
3550,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2395,5,0,0,0,0,0,1,0,0,0,0,0,0,0
2638,2,1,0,1,1,0,0,0,0,0,0,1,1,0
280,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,0,0,0,0,0,0,0,0,1,1,0,0,0,0
292,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1237,12,1,0,1,1,0,0,0,0,0,1,0,1,1
3087,7,0,0,0,1,0,0,0,0,0,0,0,0,0
115,2,0,0,0,0,0,0,0,0,0,1,0,1,1
4963,1,0,1,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3516,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2086,0,0,0,1,0,0,1,0,0,0,0,0,1,1
4475,14,1,0,0,1,0,0,0,0,0,0,1,1,0
1675,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1910,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3365,4,1,0,0,1,0,0,0,0,1,0,1,0,1
5336,2,0,0,0,1,0,0,0,0,0,0,0,0,0
5671,1,1,0,1,1,0,0,0,0,0,0,1,0,1
5126,0,1,0,1,1,0,0,0,0,1,1,0,0,0
2810,0,0,0,0,0,0,0,0,0,1,1,0,0,0
486,15,1,0,0,1,0,0,0,0,0,0,1,0,1
3200,1,0,1,0,0,0,0,0,0,0,1,0,0,0
905,0,1,0,1,1,0,0,0,0,0,0,1,1,0
4853,4,1,1,0,0,0,0,0,0,0,0,1,0,1
1431,3,0,0,0,0,0,0,0,1,0,1,0,1,1
4190,2,1,0,1,1,0,0,0,0,0,0,1,1,0
5033,1,1,0,1,0,0,0,1,0,0,0,1,1,0
1200,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2606,0,0,0,1,1,0,0,0,0,1,1,0,0,0
5120,0,1,0,1,0,0,0,0,1,0,1,1,0,1
1945,6,1,0,0,1,0,0,0,0,0,1,1,1,0
3618,0,1,0,1,1,0,0,0,0,1,0,0,1,1
2693,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5115,1,1,0,1,1,0,0,0,0,0,0,1,0,1
1036,2,1,0,1,1,0,0,0,0,0,1,1,1,0
504,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2990,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1692,14,1,0,0,1,0,0,0,0,0,0,1,1,0
4443,8,0,1,0,1,0,0,0,0,0,0,0,0,0
4648,0,0,1,0,1,0,0,0,0,0,0,0,0,0
95,0,1,0,0,0,0,0,0,0,0,0,1,0,1
4789,1,0,0,1,0,0,1,0,0,1,0,0,0,0
4970,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3858,0,0,0,0,0,0,0,0,1,1,1,0,1,1
1473,8,1,0,0,1,0,0,0,0,0,0,1,0,1
1086,2,1,0,0,0,0,0,0,0,0,0,0,1,1
4227,0,0,0,1,0,0,0,0,0,0,1,0,1,1
2003,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2568,2,0,0,0,1,0,0,0,0,0,0,0,0,0
4979,0,1,0,0,0,0,0,0,0,0,1,1,0,1
4274,2,0,1,0,0,0,0,0,0,0,1,0,1,1
5811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3805,12,0,1,0,1,0,0,0,0,0,0,0,0,0
6152,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1697,8,0,0,0,1,0,0,0,0,0,0,1,0,1
1977,1,0,0,1,1,0,0,0,0,0,0,1,0,1
4803,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1874,0,0,0,0,1,0,0,0,0,0,0,0,0,0
527,2,1,0,1,0,0,0,0,0,1,0,0,1,1
4882,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5428,0,0,0,0,1,0,0,0,0,1,1,0,0,0
170,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2760,5,1,0,0,1,0,0,0,0,0,0,1,0,1
3231,5,1,0,0,0,0,0,0,0,0,0,1,1,0
1294,14,1,0,0,1,0,0,0,0,0,0,1,1,0
1301,3,0,1,0,0,0,0,0,0,0,0,0,0,0
5712,4,1,0,1,1,0,0,0,0,0,0,1,0,1
2981,0,1,0,1,0,0,0,0,0,0,0,1,1,0
271,2,1,0,1,1,0,0,0,0,0,0,1,1,0
3533,21,1,0,0,1,0,0,0,0,0,0,1,1,0
244,3,0,0,0,0,0,1,0,0,0,0,0,1,1
3688,0,0,0,1,1,0,0,0,0,0,0,0,0,0
367,2,0,0,0,0,0,0,0,0,0,1,0,0,0
2746,1,1,0,1,1,0,0,0,0,0,0,1,1,0
5919,13,1,0,0,1,0,0,0,0,0,0,1,1,0
4231,1,0,0,0,0,0,0,0,0,0,0,0,0,0
931,18,1,0,0,1,0,0,0,0,0,1,1,0,1
1930,12,1,0,0,1,0,0,0,0,1,0,1,1,0
4827,6,0,0,0,1,0,0,0,0,0,0,1,0,1
3634,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4242,0,1,0,1,0,0,0,0,1,1,1,0,0,0
2110,3,1,0,1,0,0,0,0,0,0,0,1,1,0
5119,2,1,0,0,1,0,0,0,0,0,0,1,0,1
1441,1,1,0,1,0,0,0,0,0,0,0,1,1,0
606,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2462,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3577,1,1,0,1,1,0,0,0,0,0,1,1,1,0
1717,9,1,0,0,1,0,0,0,0,0,0,1,0,1
5013,1,0,0,0,0,0,0,0,0,0,1,0,1,1
5732,3,1,0,0,0,0,0,0,0,0,1,1,0,1
4253,16,1,0,0,1,0,0,0,0,0,0,1,1,0
5255,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1750,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1706,4,0,0,0,1,0,0,0,0,1,1,0,0,0
3609,13,1,0,0,1,0,0,0,0,0,0,1,1,0
4566,5,1,0,0,1,0,0,0,0,0,0,1,1,0
3910,0,0,0,0,0,0,0,0,0,0,1,0,0,0
648,0,1,0,1,1,0,0,0,0,1,0,0,0,0
4137,5,1,0,0,1,0,0,0,0,0,0,1,1,0
41,13,1,0,0,1,0,0,0,0,0,0,1,1,0
3637,7,1,0,0,1,0,0,0,0,0,1,1,1,0
4924,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3165,2,0,0,0,1,0,0,0,0,1,0,0,0,0
5372,9,1,0,0,1,0,0,0,0,0,0,1,0,1
5856,11,0,1,0,1,0,0,0,0,0,1,1,1,0
2042,0,1,0,1,1,0,0,0,0,0,1,0,0,0
802,1,1,0,1,1,0,0,0,0,0,0,1,0,1
1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,5,0,0,0,1,0,0,0,0,0,0,0,0,0
4739,18,1,0,0,1,0,0,0,0,0,1,1,1,0
2782,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1261,0,0,1,0,0,0,0,0,0,0,1,0,1,1
5391,8,1,0,0,0,0,1,0,0,1,1,0,1,1
4154,5,1,0,0,1,0,0,0,0,0,1,1,0,1
2463,1,0,1,0,1,0,0,0,0,0,1,0,1,1
2890,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4005,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1788,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4716,0,1,0,1,0,0,1,0,0,0,0,0,1,1
5076,1,1,0,1,1,0,0,0,0,0,0,1,1,0
3486,5,1,0,0,0,0,0,0,0,0,1,1,1,0
4519,6,0,0,0,0,0,1,0,0,0,0,1,1,0
3652,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1383,1,1,0,0,1,0,0,0,0,0,0,0,1,1
3914,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2201,3,1,0,0,0,0,0,0,0,0,0,1,0,1
471,1,0,1,0,0,0,0,0,0,0,1,0,0,0
3703,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2800,6,0,0,0,1,0,0,0,0,0,0,1,1,0
3682,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2889,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2659,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4531,0,0,1,0,0,0,0,0,0,0,0,0,0,0
339,4,0,1,0,0,0,0,0,1,0,0,0,0,0
1657,2,1,0,0,1,0,0,0,0,0,1,0,0,0
2212,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2807,0,1,0,1,1,0,0,0,0,1,0,0,0,0
4123,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2969,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5668,5,1,1,0,0,0,0,0,0,0,1,1,0,1
4222,0,0,0,0,1,0,0,0,0,1,1,0,0,0
195,0,0,0,0,1,0,0,0,0,0,1,0,0,0
327,12,1,0,0,1,0,0,0,0,0,0,1,1,0
302,3,1,0,1,1,0,0,0,0,0,0,1,1,0
4832,7,0,0,0,1,0,0,0,0,0,0,0,1,1
3392,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2748,1,0,0,0,0,0,1,0,0,0,1,0,0,0
5542,1,1,0,1,0,0,0,0,0,0,0,1,1,0
1793,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5018,1,0,0,0,0,0,1,0,0,0,0,0,1,1
1543,0,1,0,0,0,0,0,0,0,1,1,0,0,0
4788,10,1,0,0,0,0,1,0,0,0,0,1,1,0
4500,7,0,1,0,1,0,0,0,0,0,1,1,1,0
3314,1,0,0,0,1,0,0,0,0,0,1,0,1,1
133,4,1,0,0,1,0,0,0,0,1,0,1,1,0
3867,1,0,0,0,1,0,0,0,0,0,0,0,1,1
3720,3,0,0,0,1,0,0,0,0,1,0,1,0,1
5844,17,1,0,0,0,0,1,0,0,0,0,1,1,0
1012,0,0,0,0,0,0,1,0,0,0,1,0,1,1
5893,15,1,0,0,1,0,0,0,0,0,0,1,1,0
3612,3,1,0,1,1,0,0,0,0,0,0,1,1,0
4675,6,1,0,0,1,0,0,0,0,0,1,1,0,1
6165,0,0,0,0,1,0,0,0,0,0,1,0,1,1
3483,1,0,0,1,0,0,1,0,0,0,0,1,0,1
2755,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1320,24,1,1,0,1,0,0,0,0,0,0,0,1,1
756,1,0,0,1,0,0,0,0,0,0,1,0,1,1
150,2,0,1,0,0,0,1,0,0,0,0,1,0,1
3104,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3984,2,0,1,0,0,0,0,0,0,0,0,0,1,1
3766,2,1,0,0,1,0,0,0,0,0,0,1,1,0
3349,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3128,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2109,5,1,0,0,1,0,0,0,0,0,0,1,1,0
3584,2,0,0,0,1,0,0,0,0,1,1,0,0,0
5250,0,1,0,0,1,0,0,0,0,1,1,0,0,0
5313,1,0,0,0,0,0,1,0,0,0,1,0,0,0
6098,11,1,0,0,0,0,0,0,0,0,0,1,0,1
3032,1,1,0,1,1,0,0,0,0,1,0,1,1,0
1604,2,0,0,1,1,0,0,0,0,0,0,1,1,0
1343,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4036,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2191,3,1,1,0,0,1,0,0,0,0,0,1,1,0
4997,1,1,0,1,1,0,0,0,0,0,0,1,1,0
1421,24,1,0,0,1,0,0,0,0,0,0,1,0,1
744,0,0,1,0,1,0,0,0,0,1,0,0,0,0
3982,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5913,10,1,0,0,1,0,0,0,0,0,0,1,0,1
3591,2,0,0,0,1,0,0,0,0,1,0,0,0,0
2710,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2731,0,1,0,1,1,0,0,0,0,0,0,1,0,1
5046,1,1,0,1,1,0,0,0,0,0,1,1,1,0
2742,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,2,0,0,0,1,0,0,0,0,1,1,0,1,1
1066,4,0,0,0,1,0,0,0,0,0,0,0,1,1
201,1,1,0,0,0,0,0,0,0,0,0,0,0,0
824,0,0,0,0,1,0,0,0,0,0,1,0,1,1
3707,1,0,0,0,0,0,0,0,0,0,1,0,1,1
2920,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5052,0,1,0,1,1,0,0,0,0,0,0,1,1,0
5877,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2374,2,0,1,0,0,0,0,0,0,0,1,0,0,0
3447,1,0,0,0,1,0,0,0,0,1,0,0,0,0
5451,8,1,0,0,1,0,0,0,0,0,0,1,1,0
921,1,0,1,0,1,0,0,0,0,0,0,0,1,1
1742,2,0,1,0,0,0,0,0,0,0,1,0,0,0
1217,4,0,1,0,1,0,0,0,0,0,1,0,0,0
5721,9,1,0,0,1,0,0,0,0,0,0,1,1,0
3770,0,1,0,0,1,0,0,0,0,1,1,0,0,0
5606,0,1,0,1,0,0,0,0,0,0,1,1,1,0
1730,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5081,6,1,0,0,1,0,0,0,0,0,1,1,1,0
5379,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5586,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2257,0,0,0,0,0,0,1,0,0,0,1,0,1,1
3075,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3407,7,1,0,0,0,0,0,0,0,0,0,1,1,0
2459,0,0,1,0,0,0,0,0,0,0,1,0,1,1
3040,1,0,0,0,0,0,0,0,0,1,0,0,1,1
4750,0,0,0,1,0,0,1,0,0,0,0,0,1,1
313,7,1,0,0,1,0,0,0,0,0,0,1,1,0
3732,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1070,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2765,3,1,0,0,1,0,0,0,0,0,0,1,1,0
5616,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2497,4,0,1,0,0,0,1,0,0,0,0,1,0,1
5661,2,1,0,0,1,0,0,0,0,0,1,0,1,1
3126,4,0,0,0,0,0,0,0,0,0,1,1,1,0
3158,2,0,0,0,1,0,0,0,0,1,0,0,1,1
5651,1,0,0,0,1,0,0,0,0,1,0,0,0,0
3610,0,0,0,0,0,0,1,0,0,1,1,0,0,0
5232,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4930,23,1,0,0,1,0,0,0,0,0,1,1,1,0
846,2,1,0,1,0,0,0,0,0,0,0,1,0,1
4170,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5188,1,0,0,1,1,0,0,0,0,0,0,1,1,0
2437,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1505,0,1,0,1,1,0,0,0,0,1,0,0,0,0
1645,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3361,0,1,0,1,1,0,0,0,0,1,0,0,1,1
4669,2,0,0,0,1,0,0,0,0,0,0,0,0,0
